Rank,player,club,age,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
32,Ken Sema,Oestersunds FK,24,8,720,1,1,1,-,1.4,77.6,0.5,-,7.46
33,Hakan Calhanoglu,AC Milan,24,8,613,2,4,-,-,1.5,84.6,1.1,1,7.46
34,Adnan Januzaj,Real Sociedad,23,3(3),368,1,1,-,-,3.3,82.4,0.5,1,7.46
35,Artem Sukhotsky,Zorya,25,6,540,-,1,1,-,0.2,75.5,2.2,1,7.46
36,Lucas Biglia,AC Milan,32,5,450,-,-,-,-,0.6,89.9,1.6,-,7.43
37,Bogdan Planic,FC FCSB,26,6,540,-,-,-,-,0.3,79.2,2.3,-,7.43
38,Aleksandr Golovin,CSKA Moscow,22,5,450,2,-,2,-,2.8,83.1,0.8,-,7.43
39,Danny Welbeck,Arsenal,27,9(1),762,3,-,-,-,2.1,84.8,1.6,1,7.42
40,Branislav Ivanovic,Zenit St. Petersburg,34,7,615,3,2,-,-,0.7,81.8,1.6,1,7.42
41,Eduard Sobol,Slavia Prague,23,6,540,-,2,2,-,0.3,76.3,1.7,1,7.42
42,Edin Visca,Istanbul Basaksehir,28,4(1),383,3,1,-,-,2.8,75.7,0.2,1,7.41
43,Mouctar Diakhaby,Lyon,21,5,450,1,-,-,-,0.2,88.2,2.6,-,7.40
44,Diego Llorente,Real Sociedad,24,5(1),495,3,-,-,-,1,89.7,1.8,-,7.40
45,Valon Berisha,Salzburg,25,12(1),1138,5,1,1,-,2,78.2,0.7,-,7.40
46,Bruma,RasenBallsport Leipzig,23,6,498,3,-,-,-,2,78.2,0.3,-,7.40
47,Lucas Ocampos,Marseille,23,11(2),965,4,1,2,-,2.3,69.4,2.8,3,7.39
48,Veaceslav Posmac,FC Sheriff,27,6,540,-,-,1,-,0.2,80.5,4.7,2,7.38
49,Dmitriy Shomko,FC Astana,28,8,720,1,2,1,-,1,68.4,1.5,2,7.38
50,Francis Coquelin,Arsenal,27,4,359,-,-,1,-,0.8,88.4,1.3,-,7.37
41,Eduard Sobol,Slavia Prague,23,6,540,-,2,2,-,0.3,76.3,1.7,1,7.42
42,Edin Visca,Istanbul Basaksehir,28,4(1),383,3,1,-,-,2.8,75.7,0.2,1,7.41
43,Mouctar Diakhaby,Lyon,21,5,450,1,-,-,-,0.2,88.2,2.6,-,7.40
44,Diego Llorente,Real Sociedad,24,5(1),495,3,-,-,-,1,89.7,1.8,-,7.40
45,Valon Berisha,Salzburg,25,12(1),1138,5,1,1,-,2,78.2,0.7,-,7.40
46,Bruma,RasenBallsport Leipzig,23,6,498,3,-,-,-,2,78.2,0.3,-,7.40
47,Lucas Ocampos,Marseille,23,11(2),965,4,1,2,-,2.3,69.4,2.8,3,7.39
48,Veaceslav Posmac,FC Sheriff,27,6,540,-,-,1,-,0.2,80.5,4.7,2,7.38
49,Dmitriy Shomko,FC Astana,28,8,720,1,2,1,-,1,68.4,1.5,2,7.38
50,Francis Coquelin,Arsenal,27,4,359,-,-,1,-,0.8,88.4,1.3,-,7.37
51,Domagoj Pavicic,Rijeka,24,4(1),354,1,1,-,-,0.4,84,0.6,1,7.36
52,Lucas Leiva,Lazio,31,7(2),668,2,2,2,-,0.6,85.3,2.1,1,7.36
53,Alberto de la Bella,Real Sociedad,32,6(1),525,2,-,-,-,0.6,89.7,0.7,-,7.36
54,Patrick Twumasi,FC Astana,24,8,717,5,2,-,-,4,72.9,0.4,-,7.35
55,Ante Kulusic,FC Sheriff,32,6,540,-,1,3,-,0.5,76.9,2.7,1,7.35
56,Ciro Immobile,Lazio,28,5(4),583,8,-,2,-,2.9,78.4,0.4,-,7.35
57,Aleksandr Kokorin,Zenit St. Petersburg,27,9,698,6,2,-,-,1.7,67.8,1.9,-,7.34
58,Tanguy NDombele,Lyon,21,8(2),707,1,1,-,-,1,89.8,0.4,1,7.34
59,Rafael,Lyon,27,6,535,-,-,1,-,-,81.3,0.7,-,7.34
60,Jose Gimenez,Atletico Madrid,23,7,630,-,-,-,-,-,85.3,2.7,-,7.34
51,Domagoj Pavicic,Rijeka,24,4(1),354,1,1,-,-,0.4,84,0.6,1,7.36
52,Lucas Leiva,Lazio,31,7(2),668,2,2,2,-,0.6,85.3,2.1,1,7.36
53,Alberto de la Bella,Real Sociedad,32,6(1),525,2,-,-,-,0.6,89.7,0.7,-,7.36
54,Patrick Twumasi,FC Astana,24,8,717,5,2,-,-,4,72.9,0.4,-,7.35
55,Ante Kulusic,FC Sheriff,32,6,540,-,1,3,-,0.5,76.9,2.7,1,7.35
56,Ciro Immobile,Lazio,28,5(4),583,8,-,2,-,2.9,78.4,0.4,-,7.35
57,Aleksandr Kokorin,Zenit St. Petersburg,27,9,698,6,2,-,-,1.7,67.8,1.9,-,7.34
58,Tanguy NDombele,Lyon,21,8(2),707,1,1,-,-,1,89.8,0.4,1,7.34
59,Rafael,Lyon,27,6,535,-,-,1,-,-,81.3,0.7,-,7.34
60,Jose Gimenez,Atletico Madrid,23,7,630,-,-,-,-,-,85.3,2.7,-,7.34
61,Alexandre Lacazette,Arsenal,27,4,331,3,-,-,-,3,84.3,2,1,7.33
62,Andre Schurrle,Borussia Dortmund,27,4,360,2,-,2,-,3.3,76.7,1.3,-,7.33
63,Kristi Vangjeli,Skenderbeu,32,6,540,-,-,1,-,0.7,72.3,1.2,-,7.32
64,Ognjen Vranjes,AEK Athens,28,7,630,-,-,3,-,1,78.7,3.3,-,7.32
65,Yevhen Khacheridi,Dynamo Kyiv,30,6,540,-,-,1,-,0.3,87.4,4.5,1,7.31
66,Mikel Oyarzabal,Real Sociedad,21,6,455,2,1,-,-,3.3,86.1,1.2,1,7.31
67,Zeca,FC Copenhagen,29,5,446,-,-,3,-,0.6,88,1.6,-,7.30
68,William Carvalho,Sporting CP,26,3(1),256,-,-,2,-,0.3,91.1,2.3,-,7.30
69,Constantin Budescu,FC FCSB,29,6(1),550,3,3,3,-,2.7,69.7,0.1,1,7.30
70,Diego Costa,Atletico Madrid,29,5,387,2,1,1,-,2.4,66.7,2.6,1,7.29
61,Alexandre Lacazette,Arsenal,27,4,331,3,-,-,-,3,84.3,2,1,7.33
62,Andre Schurrle,Borussia Dortmund,27,4,360,2,-,2,-,3.3,76.7,1.3,-,7.33
63,Kristi Vangjeli,Skenderbeu,32,6,540,-,-,1,-,0.7,72.3,1.2,-,7.32
64,Ognjen Vranjes,AEK Athens,28,7,630,-,-,3,-,1,78.7,3.3,-,7.32
65,Yevhen Khacheridi,Dynamo Kyiv,30,6,540,-,-,1,-,0.3,87.4,4.5,1,7.31
66,Mikel Oyarzabal,Real Sociedad,21,6,455,2,1,-,-,3.3,86.1,1.2,1,7.31
67,Zeca,FC Copenhagen,29,5,446,-,-,3,-,0.6,88,1.6,-,7.30
68,William Carvalho,Sporting CP,26,3(1),256,-,-,2,-,0.3,91.1,2.3,-,7.30
69,Constantin Budescu,FC FCSB,29,6(1),550,3,3,3,-,2.7,69.7,0.1,1,7.30
70,Diego Costa,Atletico Madrid,29,5,387,2,1,1,-,2.4,66.7,2.6,1,7.29
71,Vladislav Ignatjev,Lokomotiv Moscow,31,9,771,-,1,2,-,0.6,80.5,1.1,1,7.29
72,Damien Le Tallec,FK Crvena Zvezda,28,8,720,-,-,2,-,0.3,86.7,1.8,-,7.28
73,Willian Jose,Real Sociedad,26,5(1),383,5,-,-,-,4.2,86,1,1,7.28
74,Bajram Jashanica,Skenderbeu,27,5,428,-,-,2,-,0.6,74.3,3.6,1,7.27
75,Viktor Tsygankov,Dynamo Kyiv,20,8,649,3,3,-,-,1.8,78.5,0.6,1,7.27
76,Munas Dabbur,Salzburg,26,14,1286,5,2,3,-,2.6,68.8,1.5,2,7.26
77,Hiroki Sakai,Marseille,28,8(2),765,1,1,1,-,0.4,79.4,2,-,7.26
78,Vujadin Savic,FK Crvena Zvezda,27,7,606,-,-,2,-,0.6,85.3,2.6,1,7.26
79,Koke,Atletico Madrid,26,9,754,2,3,1,-,1.1,84.5,0.3,-,7.26
80,Roman Hubnik,Viktoria Plzen,34,6,540,-,-,-,-,0.2,79.6,3.8,-,7.25
71,Vladislav Ignatjev,Lokomotiv Moscow,31,9,771,-,1,2,-,0.6,80.5,1.1,1,7.29
72,Damien Le Tallec,FK Crvena Zvezda,28,8,720,-,-,2,-,0.3,86.7,1.8,-,7.28
73,Willian Jose,Real Sociedad,26,5(1),383,5,-,-,-,4.2,86,1,1,7.28
74,Bajram Jashanica,Skenderbeu,27,5,428,-,-,2,-,0.6,74.3,3.6,1,7.27
75,Viktor Tsygankov,Dynamo Kyiv,20,8,649,3,3,-,-,1.8,78.5,0.6,1,7.27
76,Munas Dabbur,Salzburg,26,14,1286,5,2,3,-,2.6,68.8,1.5,2,7.26
77,Hiroki Sakai,Marseille,28,8(2),765,1,1,1,-,0.4,79.4,2,-,7.26
78,Vujadin Savic,FK Crvena Zvezda,27,7,606,-,-,2,-,0.6,85.3,2.6,1,7.26
79,Koke,Atletico Madrid,26,9,754,2,3,1,-,1.1,84.5,0.3,-,7.26
80,Roman Hubnik,Viktoria Plzen,34,6,540,-,-,-,-,0.2,79.6,3.8,-,7.25
81,Daniele Bonera,Villarreal,37,5,450,-,1,-,-,0.6,91.7,0.8,-,7.25
82,Mario Gavranovic,Rijeka,28,4,311,3,-,2,-,1,61.7,1,1,7.24
83,Bertrand Traore,Lyon,22,7(2),541,4,1,1,-,2.4,77.1,0.6,2,7.23
84,Aleksey Miranchuk,Lokomotiv Moscow,22,9,784,1,4,2,-,1.7,83.4,0.6,-,7.23
85,Michalis Bakakis,AEK Athens,27,8,720,-,1,1,-,0.1,80.8,1.5,1,7.23
86,Christian Noboa,Zenit St. Petersburg,33,4(1),336,-,3,-,-,0.6,85.3,0.2,1,7.23
87,Jack Wilshere,Arsenal,26,12(1),1029,1,2,1,-,1.2,86.4,0.5,1,7.23
88,Jan Gregus,FC Copenhagen,27,4,360,-,-,-,-,0.3,91.1,1.3,-,7.23
89,Michael Ngadeu-Ngadjui,Slavia Prague,27,3(2),325,1,1,-,-,0.6,72.6,2.6,1,7.22
90,Shkodran Mustafi,Arsenal,26,8,720,-,-,1,-,0.4,87.3,2.9,-,7.22
81,Daniele Bonera,Villarreal,37,5,450,-,1,-,-,0.6,91.7,0.8,-,7.25
82,Mario Gavranovic,Rijeka,28,4,311,3,-,2,-,1,61.7,1,1,7.24
83,Bertrand Traore,Lyon,22,7(2),541,4,1,1,-,2.4,77.1,0.6,2,7.23
84,Aleksey Miranchuk,Lokomotiv Moscow,22,9,784,1,4,2,-,1.7,83.4,0.6,-,7.23
85,Michalis Bakakis,AEK Athens,27,8,720,-,1,1,-,0.1,80.8,1.5,1,7.23
86,Christian Noboa,Zenit St. Petersburg,33,4(1),336,-,3,-,-,0.6,85.3,0.2,1,7.23
87,Jack Wilshere,Arsenal,26,12(1),1029,1,2,1,-,1.2,86.4,0.5,1,7.23
88,Jan Gregus,FC Copenhagen,27,4,360,-,-,-,-,0.3,91.1,1.3,-,7.23
89,Michael Ngadeu-Ngadjui,Slavia Prague,27,3(2),325,1,1,-,-,0.6,72.6,2.6,1,7.22
90,Shkodran Mustafi,Arsenal,26,8,720,-,-,1,-,0.4,87.3,2.9,-,7.22
91,Bouna Sarr,Marseille,26,11(4),1000,1,-,2,-,1.1,83.5,1.3,2,7.22
92,Emiliano Rigoni,Zenit St. Petersburg,25,9(1),775,6,1,-,-,1.9,68.2,1.4,1,7.22
93,Olivier Giroud,Arsenal,31,6,540,3,-,-,-,4.2,64.7,2.3,-,7.21
94,Marcal,Lyon,29,6,520,-,-,3,-,0.3,79,2.8,-,7.21
95,Raul Silva,Braga,28,7,630,1,1,3,-,1.1,82.4,2,1,7.21
96,Roger Assale,BSC Young Boys,24,5(1),435,4,1,2,-,3,74,1,-,7.21
97,Aritz Aduriz,Athletic Bilbao,37,9(1),801,8,1,1,1,2.8,66.7,4.5,4,7.21
98,Jan Oblak,Atletico Madrid,25,6,540,-,-,1,-,-,50.4,0.5,-,7.21
99,Milan Borjan,FK Crvena Zvezda,30,8,720,-,-,1,-,-,43.1,0.8,1,7.20
100,Lucas Tousart,Lyon,21,8(1),765,-,-,1,-,0.7,85.4,2.3,-,7.20
91,Bouna Sarr,Marseille,26,11(4),1000,1,-,2,-,1.1,83.5,1.3,2,7.22
92,Emiliano Rigoni,Zenit St. Petersburg,25,9(1),775,6,1,-,-,1.9,68.2,1.4,1,7.22
93,Olivier Giroud,Arsenal,31,6,540,3,-,-,-,4.2,64.7,2.3,-,7.21
94,Marcal,Lyon,29,6,520,-,-,3,-,0.3,79,2.8,-,7.21
95,Raul Silva,Braga,28,7,630,1,1,3,-,1.1,82.4,2,1,7.21
96,Roger Assale,BSC Young Boys,24,5(1),435,4,1,2,-,3,74,1,-,7.21
97,Aritz Aduriz,Athletic Bilbao,37,9(1),801,8,1,1,1,2.8,66.7,4.5,4,7.21
98,Jan Oblak,Atletico Madrid,25,6,540,-,-,1,-,-,50.4,0.5,-,7.21
99,Milan Borjan,FK Crvena Zvezda,30,8,720,-,-,1,-,-,43.1,0.8,1,7.20
100,Lucas Tousart,Lyon,21,8(1),765,-,-,1,-,0.7,85.4,2.3,-,7.20
101,Aymeric Laporte,Athletic Bilbao,24,6,540,-,-,1,-,0.2,84.6,3.5,-,7.20
102,Emanuel Mammana,Zenit St. Petersburg,22,8,717,-,-,-,-,-,88.1,1.1,-,7.20
103,Junior Kabananga,FC Astana,29,5,450,3,-,1,-,2.4,71.9,1.4,-,7.20
104,Jan Kopic,Viktoria Plzen,28,8(1),768,2,2,-,-,2.1,82.1,0.7,1,7.20
105,Amadou Haidara,Salzburg,20,14,1219,2,-,1,1,1.8,69.8,2.6,1,7.19
106,Cicinho,Ludogorets Razgrad,30,8,720,-,-,2,-,0.5,79.4,1.3,-,7.19
107,Kevin Mbabu,BSC Young Boys,23,5(1),464,-,1,1,-,0.2,75.3,1.7,-,7.19
108,Matheus,Braga,25,8,720,-,-,-,-,-,68,0.6,-,7.19
109,Henrikh Mkhitaryan,Arsenal,29,5(1),416,1,1,1,-,2.8,79.3,0.7,1,7.19
110,Marcelo,Lyon,31,10,900,1,-,2,-,0.2,85,3.9,-,7.19
101,Aymeric Laporte,Athletic Bilbao,24,6,540,-,-,1,-,0.2,84.6,3.5,-,7.20
102,Emanuel Mammana,Zenit St. Petersburg,22,8,717,-,-,-,-,-,88.1,1.1,-,7.20
103,Junior Kabananga,FC Astana,29,5,450,3,-,1,-,2.4,71.9,1.4,-,7.20
104,Jan Kopic,Viktoria Plzen,28,8(1),768,2,2,-,-,2.1,82.1,0.7,1,7.20
105,Amadou Haidara,Salzburg,20,14,1219,2,-,1,1,1.8,69.8,2.6,1,7.19
106,Cicinho,Ludogorets Razgrad,30,8,720,-,-,2,-,0.5,79.4,1.3,-,7.19
107,Kevin Mbabu,BSC Young Boys,23,5(1),464,-,1,1,-,0.2,75.3,1.7,-,7.19
108,Matheus,Braga,25,8,720,-,-,-,-,-,68,0.6,-,7.19
109,Henrikh Mkhitaryan,Arsenal,29,5(1),416,1,1,1,-,2.8,79.3,0.7,1,7.19
110,Marcelo,Lyon,31,10,900,1,-,2,-,0.2,85,3.9,-,7.19
111,Diego Godin,Atletico Madrid,32,8,720,-,-,-,-,0.6,85.1,2.5,-,7.19
112,Pontus Wernbloom,CSKA Moscow,31,5,450,1,-,1,-,1,71.1,5.2,-,7.18
113,Alvaro Odriozola,Real Sociedad,22,6,540,1,-,-,-,0.2,91.7,0.2,-,7.18
114,Leonardo Spinazzola,Atalanta,25,6,540,-,2,1,-,-,77.1,1,-,7.18
115,Ainsley Maitland-Niles,Arsenal,20,8(1),704,-,-,1,-,0.2,88.7,0.4,-,7.18
116,Raul Garcia,Athletic Bilbao,31,7(2),639,1,1,3,-,2.9,55.8,5.6,1,7.18
117,Diadie Samassekou,Salzburg,22,12,1081,-,1,3,-,0.3,82.4,1.2,-,7.18
118,Hector Bellerin,Arsenal,23,8,720,1,2,1,-,0.3,86.2,1.6,1,7.17
119,Houssem Aouar,Lyon,19,4(4),460,1,1,1,-,0.6,82.9,0.5,-,7.17
120,Gelson Martins,Sporting CP,23,5,475,1,-,-,-,1.8,86.9,0.8,-,7.16
111,Diego Godin,Atletico Madrid,32,8,720,-,-,-,-,0.6,85.1,2.5,-,7.19
112,Pontus Wernbloom,CSKA Moscow,31,5,450,1,-,1,-,1,71.1,5.2,-,7.18
113,Alvaro Odriozola,Real Sociedad,22,6,540,1,-,-,-,0.2,91.7,0.2,-,7.18
114,Leonardo Spinazzola,Atalanta,25,6,540,-,2,1,-,-,77.1,1,-,7.18
115,Ainsley Maitland-Niles,Arsenal,20,8(1),704,-,-,1,-,0.2,88.7,0.4,-,7.18
116,Raul Garcia,Athletic Bilbao,31,7(2),639,1,1,3,-,2.9,55.8,5.6,1,7.18
117,Diadie Samassekou,Salzburg,22,12,1081,-,1,3,-,0.3,82.4,1.2,-,7.18
118,Hector Bellerin,Arsenal,23,8,720,1,2,1,-,0.3,86.2,1.6,1,7.17
119,Houssem Aouar,Lyon,19,4(4),460,1,1,1,-,0.6,82.9,0.5,-,7.17
120,Gelson Martins,Sporting CP,23,5,475,1,-,-,-,1.8,86.9,0.8,-,7.16
121,Salih Ozcan,FC Cologne,20,5,450,-,1,-,-,0.8,84.6,3.2,-,7.16
122,Junior Morais,FC FCSB,31,7,630,1,-,-,-,0.7,71.1,2,2,7.16
123,Kerim Frei,Istanbul Basaksehir,24,4(1),377,1,1,1,-,2.2,90,0.2,1,7.15
124,Frederik Sorensen,FC Cologne,26,4,360,-,1,2,-,1,79.6,3,-,7.15
125,Alassane Plea,Nice,25,7(1),581,4,1,-,-,2.5,85.9,0.6,1,7.15
126,Sergej Milinkovic-Savic,Lazio,23,5(3),525,2,3,3,-,1.6,74.1,2.4,1,7.15
127,Jordan Amavi,Marseille,24,11(1),1011,-,1,4,1,0.3,77.4,2.3,1,7.14
128,Stefan Posch,Hoffenheim,21,3(1),315,-,-,-,-,-,91.4,2,-,7.14
129,Kasim Nuhu,BSC Young Boys,22,4,360,-,-,-,-,1,81.2,3,-,7.14
130,Arnaud Souquet,Nice,26,4,360,-,1,-,-,0.3,89.3,0.8,-,7.14
121,Salih Ozcan,FC Cologne,20,5,450,-,1,-,-,0.8,84.6,3.2,-,7.16
122,Junior Morais,FC FCSB,31,7,630,1,-,-,-,0.7,71.1,2,2,7.16
123,Kerim Frei,Istanbul Basaksehir,24,4(1),377,1,1,1,-,2.2,90,0.2,1,7.15
124,Frederik Sorensen,FC Cologne,26,4,360,-,1,2,-,1,79.6,3,-,7.15
125,Alassane Plea,Nice,25,7(1),581,4,1,-,-,2.5,85.9,0.6,1,7.15
126,Sergej Milinkovic-Savic,Lazio,23,5(3),525,2,3,3,-,1.6,74.1,2.4,1,7.15
127,Jordan Amavi,Marseille,24,11(1),1011,-,1,4,1,0.3,77.4,2.3,1,7.14
128,Stefan Posch,Hoffenheim,21,3(1),315,-,-,-,-,-,91.4,2,-,7.14
129,Kasim Nuhu,BSC Young Boys,22,4,360,-,-,-,-,1,81.2,3,-,7.14
130,Arnaud Souquet,Nice,26,4,360,-,1,-,-,0.3,89.3,0.8,-,7.14
131,Tomas Soucek,Slavia Prague,23,5,450,-,-,1,-,1.6,80,3,-,7.14
132,Lazaros Christodoulopoulos,AEK Athens,31,7(1),553,2,1,-,-,2.3,83.4,1.4,1,7.13
133,Alexander Gorgon,Rijeka,29,4,354,2,1,1,-,1.8,69.4,1.8,1,7.13
134,Davide Calabria,AC Milan,21,4,349,-,-,-,-,0.3,78,1.3,-,7.12
135,Filip Stojkovic,FK Crvena Zvezda,25,8,720,-,-,1,-,-,69.2,0.8,-,7.12
136,Angel Correa,Atletico Madrid,23,7(2),547,1,3,2,-,1,76.5,0.2,2,7.12
137,Kenny Tete,Lyon,22,4,360,-,-,1,-,1.3,78,3,-,7.11
138,Danilo,Braga,22,6,509,-,-,1,-,1,76.8,1.3,-,7.11
139,Mattia Caldara,Atalanta,24,6(2),577,-,2,1,-,0.5,82.2,1,-,7.11
140,Marco Parolo,Lazio,33,6(2),572,2,-,2,-,1.3,77,2.8,-,7.11
131,Tomas Soucek,Slavia Prague,23,5,450,-,-,1,-,1.6,80,3,-,7.14
132,Lazaros Christodoulopoulos,AEK Athens,31,7(1),553,2,1,-,-,2.3,83.4,1.4,1,7.13
133,Alexander Gorgon,Rijeka,29,4,354,2,1,1,-,1.8,69.4,1.8,1,7.13
134,Davide Calabria,AC Milan,21,4,349,-,-,-,-,0.3,78,1.3,-,7.12
135,Filip Stojkovic,FK Crvena Zvezda,25,8,720,-,-,1,-,-,69.2,0.8,-,7.12
136,Angel Correa,Atletico Madrid,23,7(2),547,1,3,2,-,1,76.5,0.2,2,7.12
137,Kenny Tete,Lyon,22,4,360,-,-,1,-,1.3,78,3,-,7.11
138,Danilo,Braga,22,6,509,-,-,1,-,1,76.8,1.3,-,7.11
139,Mattia Caldara,Atalanta,24,6(2),577,-,2,1,-,0.5,82.2,1,-,7.11
140,Marco Parolo,Lazio,33,6(2),572,2,-,2,-,1.3,77,2.8,-,7.11
141,Kirill Nababkin,CSKA Moscow,31,3(1),334,1,1,2,-,0.8,85.6,1.3,-,7.11
142,Memphis Depay,Lyon,24,8(2),688,3,3,1,-,1.8,77.7,0.1,1,7.10
143,Tom Pettersson,Oestersunds FK,28,8,720,-,-,-,-,0.3,85.6,2.3,2,7.09
144,Mariano,Lyon,24,8(1),684,2,1,1,-,3.4,81.4,1.2,1,7.09
145,Michal Frydrych,Slavia Prague,28,4,360,-,-,-,-,0.8,67.4,2,-,7.09
146,Zoran Tosic,Partizan Belgrade,31,5,441,1,1,4,-,1.8,83.6,0.6,1,7.09
147,Andriy Lunin,Zorya,19,6,540,-,-,-,-,-,47.8,0.5,-,7.09
148,Josip Elez,Rijeka,24,5,430,2,-,2,-,0.4,81.1,1.6,1,7.08
149,Bryan Cristante,Atalanta,23,8,628,3,-,2,-,1.6,75.9,2.3,-,7.08
150,Jakub Jugas,Slavia Prague,26,6,540,-,-,1,-,0.7,75.9,2,-,7.08
141,Kirill Nababkin,CSKA Moscow,31,3(1),334,1,1,2,-,0.8,85.6,1.3,-,7.11
142,Memphis Depay,Lyon,24,8(2),688,3,3,1,-,1.8,77.7,0.1,1,7.10
143,Tom Pettersson,Oestersunds FK,28,8,720,-,-,-,-,0.3,85.6,2.3,2,7.09
144,Mariano,Lyon,24,8(1),684,2,1,1,-,3.4,81.4,1.2,1,7.09
145,Michal Frydrych,Slavia Prague,28,4,360,-,-,-,-,0.8,67.4,2,-,7.09
146,Zoran Tosic,Partizan Belgrade,31,5,441,1,1,4,-,1.8,83.6,0.6,1,7.09
147,Andriy Lunin,Zorya,19,6,540,-,-,-,-,-,47.8,0.5,-,7.09
148,Josip Elez,Rijeka,24,5,430,2,-,2,-,0.4,81.1,1.6,1,7.08
149,Bryan Cristante,Atalanta,23,8,628,3,-,2,-,1.6,75.9,2.3,-,7.08
150,Jakub Jugas,Slavia Prague,26,6,540,-,-,1,-,0.7,75.9,2,-,7.08
151,Ricardo Rodriguez,AC Milan,25,6(1),545,2,2,-,-,0.7,89.3,2,1,7.08
152,Sokratis,Borussia Dortmund,29,4,360,-,-,2,-,1,81.8,3.3,-,7.07
153,Juanfran,Atletico Madrid,33,6(1),541,-,2,-,-,0.4,88.6,0.3,1,7.07
154,Nenad Eric,FC Astana,36,8,720,-,-,1,-,-,42.7,0.9,-,7.07
155,Guilherme,Lokomotiv Moscow,32,7,573,-,-,1,-,-,50.3,0.7,1,7.07
156,Lucas Hernandez,Atletico Madrid,22,7(1),614,-,1,1,-,0.4,81.8,1.9,-,7.06
157,Mykola Morozyuk,Dynamo Kyiv,30,8(2),708,2,3,1,-,0.8,71.6,0.9,-,7.06
158,Moraes,Dynamo Kyiv,31,7(3),743,7,-,3,-,2.5,69.4,0.8,1,7.06
159,Renan,Ludogorets Razgrad,29,4,360,-,-,-,-,-,64,-,1,7.06
160,Xabi Prieto,Real Sociedad,34,6,483,-,2,1,-,1.3,87.1,1,-,7.05
151,Ricardo Rodriguez,AC Milan,25,6(1),545,2,2,-,-,0.7,89.3,2,1,7.08
152,Sokratis,Borussia Dortmund,29,4,360,-,-,2,-,1,81.8,3.3,-,7.07
153,Juanfran,Atletico Madrid,33,6(1),541,-,2,-,-,0.4,88.6,0.3,1,7.07
154,Nenad Eric,FC Astana,36,8,720,-,-,1,-,-,42.7,0.9,-,7.07
155,Guilherme,Lokomotiv Moscow,32,7,573,-,-,1,-,-,50.3,0.7,1,7.07
156,Lucas Hernandez,Atletico Madrid,22,7(1),614,-,1,1,-,0.4,81.8,1.9,-,7.06
157,Mykola Morozyuk,Dynamo Kyiv,30,8(2),708,2,3,1,-,0.8,71.6,0.9,-,7.06
158,Moraes,Dynamo Kyiv,31,7(3),743,7,-,3,-,2.5,69.4,0.8,1,7.06
159,Renan,Ludogorets Razgrad,29,4,360,-,-,-,-,-,64,-,1,7.06
160,Xabi Prieto,Real Sociedad,34,6,483,-,2,1,-,1.3,87.1,1,-,7.05
161,Mattia Bottani,FC Lugano,27,5(1),443,2,1,1,-,2.2,80.7,0.8,-,7.05
162,Fouad Bachirou,Oestersunds FK,28,6,540,-,-,2,-,0.5,82.6,0.7,-,7.05
163,Daler Kuzyaev,Zenit St. Petersburg,25,6(1),540,1,1,2,-,0.4,83.7,0.7,-,7.05
164,Victor Ruiz,Villarreal,29,5,450,-,-,-,-,0.2,90.9,1.8,-,7.05
165,Ondrej Baco,Zlin,22,5,450,-,-,2,-,0.6,82.6,2.8,-,7.05
166,Andre Silva,AC Milan,22,8(2),721,6,-,1,-,2.1,78.7,0.8,2,7.05
167,Tony Nwakaeme,Hapoel Beer Sheva,29,4(1),388,1,-,1,-,2.6,76.8,1,-,7.05
168,Tomas Horava,Viktoria Plzen,30,8(1),775,2,1,1,-,1.8,86.4,1.1,1,7.04
169,Marko Jevtovic,Partizan Belgrade,24,7,605,1,-,1,-,0.9,72.2,2.7,-,7.04
170,Sebastian Coates,Sporting CP,27,4,360,-,-,2,-,1.5,82.4,4.3,-,7.04
161,Mattia Bottani,FC Lugano,27,5(1),443,2,1,1,-,2.2,80.7,0.8,-,7.05
162,Fouad Bachirou,Oestersunds FK,28,6,540,-,-,2,-,0.5,82.6,0.7,-,7.05
163,Daler Kuzyaev,Zenit St. Petersburg,25,6(1),540,1,1,2,-,0.4,83.7,0.7,-,7.05
164,Victor Ruiz,Villarreal,29,5,450,-,-,-,-,0.2,90.9,1.8,-,7.05
165,Ondrej Baco,Zlin,22,5,450,-,-,2,-,0.6,82.6,2.8,-,7.05
166,Andre Silva,AC Milan,22,8(2),721,6,-,1,-,2.1,78.7,0.8,2,7.05
167,Tony Nwakaeme,Hapoel Beer Sheva,29,4(1),388,1,-,1,-,2.6,76.8,1,-,7.05
168,Tomas Horava,Viktoria Plzen,30,8(1),775,2,1,1,-,1.8,86.4,1.1,1,7.04
169,Marko Jevtovic,Partizan Belgrade,24,7,605,1,-,1,-,0.9,72.2,2.7,-,7.04
170,Sebastian Coates,Sporting CP,27,4,360,-,-,2,-,1.5,82.4,4.3,-,7.04
171,Manu Trigueros,Villarreal,26,7,588,1,-,-,-,2.4,86.1,0.4,1,7.04
172,Andrey Lunev,Zenit St. Petersburg,26,8,720,-,-,-,-,-,67.7,0.4,-,7.04
173,Josip Brezovec,FC Sheriff,32,6,415,1,1,-,-,2.7,66.2,0.2,1,7.04
174,Luiz Felipe,Lazio,21,10,831,-,1,5,-,0.5,86.2,2.2,-,7.04
175,Domagoj Vida,Dynamo Kyiv,29,4,350,-,-,-,-,1.3,80,3,-,7.03
